"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"190",3068098,"Comparison of tinidazole given as a single dose and on 2 consecutive days for the treatment of nonspecific bacterial vaginosis",1988,NA,NA,NA,NA,NA,NA,NA
"191",3068610,"Broncho-Vaxom in children with rhinosinusitis: a double-blind clinical trial",1988,NA,NA,NA,NA,NA,NA,NA
"192",3069568,"[Peri-operative preventive use of antibiotics in abdominal hysterectomy]",1988,NA,NA,NA,NA,NA,NA,NA
"193",3079625,"A double-blind, controlled comparison of piperacillin and cefoxitin in the prevention of postoperative infection in patients undergoing cesarean section",1986,NA,NA,NA,NA,NA,NA,NA
"194",3087620,"Effect of oral penicillin on pneumococcal carriage in elderly men with chronic bronchitis",1986,NA,NA,NA,NA,NA,NA,NA
"195",3089939,"Laminar air flow isolation and decontamination: a prospective randomized study of the effects of prophylactic systemic antibiotics in bone marrow transplant patients",1986,NA,NA,NA,NA,NA,NA,NA
"196",3101484,"Five vs ten days of penicillin V therapy for streptococcal pharyngitis",1987,NA,NA,NA,NA,NA,NA,NA
"197",3103245,"A comparison of cefotaxime versus cefamandole in prophylaxis for surgical treatment of the biliary tract",1987,NA,NA,NA,NA,NA,NA,NA
"198",3110441,"Prospective evaluation of single and triple lumen catheters in total parenteral nutrition",1987,NA,NA,NA,NA,NA,NA,NA
"199",3118005,"Pseudomonas aeruginosa as a primary pathogen in children with bacterial peritonitis",1987,NA,NA,NA,NA,NA,NA,NA
"200",3118453,"Antibiotic therapy in pneumonia: a comparative study of parenteral and oral administration of penicillin",1987,NA,NA,NA,NA,NA,NA,NA
"201",3129780,"Five versus ten days treatment of group A streptococcal pharyngotonsillitis: a randomized controlled clinical trial with phenoxymethylpenicillin and cefadroxil",1988,NA,NA,NA,NA,NA,NA,NA
"202",3137036,"Prospective randomized comparative trial of pefloxacin versus cotrimoxazole in the treatment of typhoid fever in adults",1988,NA,NA,NA,NA,NA,NA,NA
"203",3151688,"Comparison of the combination clindamycin/gentamycin with metronidazol/gentamycin in head and neck surgery",1988,NA,NA,NA,NA,NA,NA,NA
"204",3184215,"Safety and efficacy of mezlocillin: a single-drug therapy for penetrating abdominal trauma",1988,NA,NA,NA,NA,NA,NA,NA
"205",3195780,"Infection related to intravascular pressure monitoring: effects of flush and tubing changes",1988,NA,NA,NA,NA,NA,NA,NA
"206",3243093,"Clinical comparison of once-daily cefadroxil and thrice-daily cefaclor in the treatment of streptococcal pharyngitis",1988,NA,NA,NA,NA,NA,NA,NA
"207",3277153,"Five vs. ten days of therapy for acute otitis media",1988,NA,NA,NA,NA,NA,NA,NA
"208",3277588,"Duration of preventive antibiotic administration for open extremity fractures",1988,NA,NA,NA,NA,NA,NA,NA
"209",3277760,"Randomized study of six umbilical cord care regimens. Comparing length of attachment, microbial control, and satisfaction",1988,NA,NA,NA,NA,NA,NA,NA
"210",3283093,"A randomized double blind controlled trial comparing two amoxycillin regimens in the treatment of acute exacerbations of chronic bronchitis",1988,NA,NA,NA,NA,NA,NA,NA
"211",3285883,"Amoxycillin-clavulanic acid (Augmentin) versus metronidazole as prophylaxis in hysterectomy: a prospective, randomized clinical trial",1988,NA,NA,NA,NA,NA,NA,NA
"212",3286537,"Two-day cefamandole versus five-day cephazolin prophylaxis in 965 total hip replacements. Report of a multicentre double blind randomised trial",1988,NA,NA,NA,NA,NA,NA,NA
"213",3287839,"One or three weeks' treatment of acute pyelonephritis? A double-blind comparison, using a fixed combination of pivampicillin plus pivmecillinam",1988,NA,NA,NA,NA,NA,NA,NA
"214",3287976,"A multicenter comparative study of cefotetan once daily and cefoxitin thrice daily for the treatment of infections of the skin and superficial soft tissue",1988,NA,NA,NA,NA,NA,NA,NA
"215",3300120,"Stratified duration of prophylactic antimicrobial treatment in emergency abdominal surgery. Metronidazole-fosfomycin vs. metronidazole-gentamicin in 381 patients",1987,NA,NA,NA,NA,NA,NA,NA
"216",3304156,"Ampicillin versus cefamandole as initial therapy for community-acquired pneumonia",1987,NA,NA,NA,NA,NA,NA,NA
"217",3309827,"[Comparison of 3 antibiotics, cefaclor, josamycin and penicillin V in the treatment of acute throat infections. A multicenter study: 581 cases]",1987,NA,NA,NA,NA,NA,NA,NA
"218",3311904,"Single dose tetracycline in cholera",1987,NA,NA,NA,NA,NA,NA,NA
"219",3312207,"Perioperative cefamandole prophylaxis against infections",1987,NA,NA,NA,NA,NA,NA,NA
"220",3319012,"Double-blind study comparing aztreonam with placebo for prophylaxis of infection following prostatic surgery",1987,NA,NA,NA,NA,NA,NA,NA
"221",3323074,"Ceftazidime in antibiotic prophylaxis for emergency cesarean section: a randomized prospective study",1987,NA,NA,NA,NA,NA,NA,NA
"222",3323167,"Roxithromycin in skin and soft tissue infections",1987,NA,NA,NA,NA,NA,NA,NA
"223",3325260,"Clinical efficacy of ofloxacin in lower respiratory tract infections. A multicentre study",1987,NA,NA,NA,NA,NA,NA,NA
"224",3351823,"A comparison of cefonicid and cefoxitin for preventing infections after vaginal hysterectomy",1988,NA,NA,NA,NA,NA,NA,NA
"225",3369709,"Kallikrein and antibiotics in the treatment of infertile men with genital tract infections",1988,NA,NA,NA,NA,NA,NA,NA
"226",3377459,"Carumonam (Ro 17-2301; AMA-1080) compared with gentamicin for treatment of complicated urinary tract infections",1988,NA,NA,NA,NA,NA,NA,NA
"227",3385871,"Antibiotic prophylaxis in head and neck cancer surgery",1988,NA,NA,NA,NA,NA,NA,NA
"228",3391871,"Efficacy and tolerability of erythromycin acistrate and erythromycin stearate in acute skin infections of patients with atopic eczema",1988,NA,NA,NA,NA,NA,NA,NA
"229",3396475,"Comparison of the antimicrobial prophylactic efficacy of cefotaxime and cephazolin in obstetric and gynaecological surgery. A randomised multicentre study",1988,NA,NA,NA,NA,NA,NA,NA
"230",3396485,"Optimal duration of cefotaxime prophylaxis in abdominal and vaginal hysterectomy",1988,NA,NA,NA,NA,NA,NA,NA
"231",3396492,"Serum and tissue concentrations of cefoxitin and cefotaxime in women undergoing hysterectomy",1988,NA,NA,NA,NA,NA,NA,NA
"232",3421250,"Ampicillin prophylaxis in preterm premature rupture of the membranes: a prospective randomized study",1988,NA,NA,NA,NA,NA,NA,NA
"233",3471181,"Coagulopathy associated with extended-spectrum cephalosporins in patients with serious infections",1987,NA,NA,NA,NA,NA,NA,NA
"234",3488385,"Early treatment with erythromycin of Campylobacter jejuni-associated dysentery in children",1986,NA,NA,NA,NA,NA,NA,NA
"235",3491791,"Prevention of infection in acute leukemia: a prospective randomized study on the efficacy of two different drug regimens for antimicrobial prophylaxis",1986,NA,NA,NA,NA,NA,NA,NA
"236",3492358,"A comparative study of cefadroxil and co-trimoxazole in patients with lower respiratory tract infections",1986,NA,NA,NA,NA,NA,NA,NA
"237",3492950,"Acute renal infection in women: treatment with trimethoprim-sulfamethoxazole or ampicillin for two or six weeks. A randomized trial",1987,NA,NA,NA,NA,NA,NA,NA
"238",3495027,"Use of trimethoprim-sulfamethoxazole in a glucose-6-phosphate dehydrogenase-deficient population",1987,NA,NA,NA,NA,NA,NA,NA
"239",3501750,"Ofloxacin versus trimethoprim-sulphamethoxazole in acute cystitis",1987,NA,NA,NA,NA,NA,NA,NA
"240",3514630,"Perioperative antimicrobial prophylaxis in cardiovascular surgery. A prospective randomized trial comparing two day cefuroxime prophylaxis with four day cefazolin prophylaxis",1986,NA,NA,NA,NA,NA,NA,NA
"241",3515952,"Cefotetan versus cefoxitin as prophylaxis in hysterectomy",1986,NA,NA,NA,NA,NA,NA,NA
"242",3518625,"Comparative efficacies of single intravenous doses of ceftriaxone and ampicillin for shigellosis in a placebo-controlled trial",1986,NA,NA,NA,NA,NA,NA,NA
"243",3520469,"Comparative effectiveness of amoxicillin and amoxicillin-clavulanate potassium in acute paranasal sinus infections in children: a double-blind, placebo-controlled trial",1986,NA,NA,NA,NA,NA,NA,NA
"244",3535687,"Erythromycin versus tetracycline for treatment of Mediterranean spotted fever",1986,NA,NA,NA,NA,NA,NA,NA
"245",3538962,"Oral norfloxacin for prevention of gram-negative bacterial infections in patients with acute leukemia and granulocytopenia. A randomized, double-blind, placebo-controlled trial",1987,NA,NA,NA,NA,NA,NA,NA
"246",3543037,"[Value of short prophylactic antibiotherapy in thoracic and vascular surgery. Comparative randomized double-blind study of 3 and 8 injections of cefamandole]",1986,NA,NA,NA,NA,NA,NA,NA
"247",3548611,"Imipenem (N-F-thienamycin) versus netilmicin plus clindamycin. A controlled and randomized comparison in intra-abdominal infections",1987,NA,NA,NA,NA,NA,NA,NA
"248",3555040,"Comparative, double-blind study of oral ciprofloxacin and intravenous cefotaxime in skin and skin structure infections",1987,NA,NA,NA,NA,NA,NA,NA
"249",3555057,"Clinical efficacy of ciprofloxacin compared with placebo in bacterial diarrhea",1987,NA,NA,NA,NA,NA,NA,NA
"250",3574819,"Single-dose antibiotic prophylaxis in women undergoing vaginal hysterectomy",1987,NA,NA,NA,NA,NA,NA,NA
"251",3658278,"Single-dose cefazolin versus cefonicid for antibiotic prophylaxis in cesarean delivery",1987,NA,NA,NA,NA,NA,NA,NA
"252",3725653,"Cefotaxime vs. conventional therapy for the treatment of bacterial meningitis of infants and children",1986,NA,NA,NA,NA,NA,NA,NA
"253",3726718,"A prospective randomized study of moxalactam versus gentamicin and clindamycin in penetrating abdominal trauma",1986,NA,NA,NA,NA,NA,NA,NA
"254",3781700,"Possibility of interaction among antibiotics and mucolytics in children",1986,NA,NA,NA,NA,NA,NA,NA
"255",3804884,"Randomised comparison of ceftriaxone and cefamandole therapy in lower respiratory tract infections in an elderly population",1986,NA,NA,NA,NA,NA,NA,NA
"256",3881598,"Therapy of symptomatic pyelonephritis in women",1985,NA,NA,NA,NA,NA,NA,NA
"257",3886564,"Clinical evaluation of cefotiam and cefamandole in respiratory tract infections",1985,NA,NA,NA,NA,NA,NA,NA
"258",3887560,"Cefadroxil once daily for three or seven days versus amoxycillin for seven days in uncomplicated urinary tract infections in women",1985,NA,NA,NA,NA,NA,NA,NA
"259",3889396,"Seven days of ceftriaxone therapy is as effective as ten days' treatment for bacterial meningitis",1985,NA,NA,NA,NA,NA,NA,NA
"260",3891203,"Twice-daily moxalactam versus gentamicin and clindamycin in patients with penetrating abdominal trauma",1985,NA,NA,NA,NA,NA,NA,NA
"261",3893387,"Stratified outcome comparison of clindamycin-gentamicin vs chloramphenicol-gentamicin for treatment of intra-abdominal sepsis",1985,NA,NA,NA,NA,NA,NA,NA
"262",3893511,"A single dose of sulfametopyrazine versus 7 days of ampicillin in acute on chronic bronchitis",1985,NA,NA,NA,NA,NA,NA,NA
"263",3900837,"Comparison of intravenous administration with intrauterine irrigation with ceforanide for nonelective cesarean section",1985,NA,NA,NA,NA,NA,NA,NA
"264",3914473,"Prophylactic antibiotics in patients undergoing total vaginal or abdominal hysterectomy",1985,NA,NA,NA,NA,NA,NA,NA
"265",3919171,"Penicillin V and rifampin for the treatment of group A streptococcal pharyngitis: a randomized trial of 10 days penicillin vs 10 days penicillin with rifampin during the final 4 days of therapy",1985,NA,NA,NA,NA,NA,NA,NA
"266",3919579,"Prospective randomized trial of antibiotic prophylaxis in acute leukemia",1985,NA,NA,NA,NA,NA,NA,NA
"267",3927210,"A comparative trial of cefazolin and moxalactam as prophylaxis for preventing infection after abdominal hysterectomy",1985,NA,NA,NA,NA,NA,NA,NA
"268",3955779,"Comparative clinical evaluation of ceftriaxone in treating lower respiratory tract infections",1986,NA,NA,NA,NA,NA,NA,NA
"269",4002410,"[Treatment of acute urinary infections. Comparison between pivmecillinam for 3 days and sulfamethizole therapy for 6 days]",1985,NA,NA,NA,NA,NA,NA,NA
"270",4073858,"Comparison of ceftriaxone and ampicillin plus chloramphenicol for the therapy of acute bacterial meningitis",1985,NA,NA,NA,NA,NA,NA,NA
"271",4873660,"Controlled comparison of tetracycline and furazolidone in cholera",1968,NA,NA,NA,NA,NA,NA,NA
"272",4888353,"Controlled trial comparing effect of two and six weeks' treatment in recurrent urinary tract infection",1969,NA,NA,NA,NA,NA,NA,NA
"273",6097117,"Comparative evaluation of cefmenoxime versus cefoxitin in serious infections",1984,NA,NA,NA,NA,NA,NA,NA
"274",6102677,"Intraventricular gentamicin therapy in gram-negative bacillary meningitis of infancy. Report of the Second Neonatal Meningitis Cooperative Study Group",1980,NA,NA,NA,NA,NA,NA,NA
"275",6119512,"Double-blind placebo controlled trial of erythromycin for treatment of Campylobacter enteritis",1982,NA,NA,NA,NA,NA,NA,NA
"276",6161804,"ERCP: Complications and prophylaxis a controlled study",1981,NA,NA,NA,NA,NA,NA,NA
"277",6214996,"Randomized comparative study of moxalactam and cefazolin in the treatment of acute urinary tract infections in adults",1982,NA,NA,NA,NA,NA,NA,NA
"278",6230648,"[Single-dose preventive treatment of urinary tract infections after endoscopic resection of the prostate]",1984,NA,NA,NA,NA,NA,NA,NA
"279",6262930,"[Parietal complications of cholecystectomy : results of prophylactic antibiotic therapy with cefazoline (author's transl)]",1981,NA,NA,NA,NA,NA,NA,NA
"280",6336641,"Bicozamycin, a poorly absorbable antibiotic, effectively treats travelers' diarrhea",1983,NA,NA,NA,NA,NA,NA,NA
"281",6336865,"Metronidazole in the treatment of intra-abdominal sepsis",1983,NA,NA,NA,NA,NA,NA,NA
"282",6336898,"Multicenter comparison of cefoxitin versus cefazolin for prevention of infectious morbidity after nonelective cesarean section",1983,NA,NA,NA,NA,NA,NA,NA
"283",6337473,"Treatment of Campylobacter-associated enteritis with erythromycin",1983,NA,NA,NA,NA,NA,NA,NA
"284",6337491,"Short-term antibiotic prophylaxis in high-risk patients following cesarean section",1983,NA,NA,NA,NA,NA,NA,NA
"285",6352603,"Comparative efficacy and tolerance study of azlocillin and carbenicillin in patients with cystic fibrosis: a double blind study",1983,NA,NA,NA,NA,NA,NA,NA
"286",6355318,"Selective intrapartum chemoprophylaxis of neonatal group B streptococcal early-onset disease. III. Interruption of mother-to-infant transmission",1983,NA,NA,NA,NA,NA,NA,NA
"287",6357037,"The place of antibiotics in preventing wound infection after clean operations in an Indian hospital: a prospective, randomised, controlled clinical trial",1983,NA,NA,NA,NA,NA,NA,NA
"288",6361251,"Effects of antibiotic prophylaxis on women undergoing nonelective cesarean section in a community hospital",1983,NA,NA,NA,NA,NA,NA,NA
"289",6363154,"A clinical trial of co-trimazine (sulfadiazine + trimethoprim) in flare-ups of chronic bronchitis",1984,NA,NA,NA,NA,NA,NA,NA
"290",6363670,"Antibiotic management of complicated appendicitis",1983,NA,NA,NA,NA,NA,NA,NA
"291",6363696,"Perioperative use of cefoxitin in primary cesarean section",1983,NA,NA,NA,NA,NA,NA,NA
"292",6363740,"Prophylactic sulfamethoxazole and trimethoprim in ventriculoperitoneal shunt surgery. A double-blind, randomized, placebo-controlled trial",1984,NA,NA,NA,NA,NA,NA,NA
"293",6366769,"The effect of penicillin therapy on the symptoms and signs of streptococcal pharyngitis",1984,NA,NA,NA,NA,NA,NA,NA
"294",6373094,"Comparison between cephalexin two- and four-time per day regimens in group A streptococcal pharyngitis",1984,NA,NA,NA,NA,NA,NA,NA
"295",6375370,"Cotrimoxazole prophylaxis in patients with leukemia and prolonged granulocytopenia",1984,NA,NA,NA,NA,NA,NA,NA
"296",6384419,"A randomized, controlled trial of doxycycline in the treatment of acute bronchitis",1984,NA,NA,NA,NA,NA,NA,NA
"297",6386819,"Prophylactic cefamandole in orthopaedic surgery",1984,NA,NA,NA,NA,NA,NA,NA
"298",6395279,"Comparative studies of multiple-dose cefoxitin vs. single-dose cefonicid for surgical prophylaxis in patients undergoing biliary tract operations or hysterectomy",1984,NA,NA,NA,NA,NA,NA,NA
"299",6404238,"Acute nonperforating appendicitis. Efficacy of brief antibiotic prophylaxis",1983,NA,NA,NA,NA,NA,NA,NA
